dataset,country_name
gdp,British Virgin Islands
gdp,Eritrea
gdp,Gibraltar
gdp,"Korea, Dem. People's Rep."
gdp,South Sudan
gdp,"Venezuela, RB"
gov_eff,British Virgin Islands
gov_eff,Channel Islands
gov_eff,Curacao
gov_eff,Faroe Islands
gov_eff,French Polynesia
gov_eff,Gibraltar
gov_eff,Isle of Man
gov_eff,New Caledonia
gov_eff,Northern Mariana Islands
gov_eff,Sint Maarten (Dutch part)
gov_eff,St. Martin (French part)
gov_eff,Turks and Caicos Islands
edu_spend,American Samoa
edu_spend,Brunei Darussalam
edu_spend,Channel Islands
edu_spend,Colombia
edu_spend,Curacao
edu_spend,"Egypt, Arab Rep."
edu_spend,Equatorial Guinea
edu_spend,Eritrea
edu_spend,Faroe Islands
edu_spend,French Polynesia
edu_spend,Gibraltar
edu_spend,Greenland
edu_spend,Guam
edu_spend,Guinea-Bissau
edu_spend,Iraq
edu_spend,Isle of Man
edu_spend,"Korea, Dem. People's Rep."
edu_spend,Kosovo
edu_spend,Libya
edu_spend,Liechtenstein
edu_spend,Montenegro
edu_spend,New Caledonia
edu_spend,North Macedonia
edu_spend,Northern Mariana Islands
edu_spend,Puerto Rico (US)
edu_spend,Saudi Arabia
edu_spend,Somalia
edu_spend,South Sudan
edu_spend,St. Martin (French part)
edu_spend,Sudan
edu_spend,Syrian Arab Republic
edu_spend,Tuvalu
edu_spend,"Venezuela, RB"
edu_spend,Virgin Islands (U.S.)
edu_spend,"Yemen, Rep."
rd,Afghanistan
rd,Albania
rd,American Samoa
rd,Andorra
rd,Angola
rd,Antigua and Barbuda
rd,Aruba
rd,"Bahamas, The"
rd,Bahrain
rd,Bangladesh
rd,Barbados
rd,Belize
rd,Benin
rd,Bhutan
rd,Bolivia
rd,Botswana
rd,British Virgin Islands
rd,Cabo Verde
rd,Cambodia
rd,Cameroon
rd,Cayman Islands
rd,Central African Republic
rd,Chad
rd,Channel Islands
rd,Comoros
rd,"Congo, Dem. Rep."
rd,Cote d'Ivoire
rd,Curacao
rd,Djibouti
rd,Dominica
rd,Dominican Republic
rd,Ecuador
rd,Equatorial Guinea
rd,Eritrea
rd,Eswatini
rd,Faroe Islands
rd,Fiji
rd,French Polynesia
rd,Gabon
rd,Ghana
rd,Gibraltar
rd,Greenland
rd,Grenada
rd,Guam
rd,Guinea
rd,Guinea-Bissau
rd,Guyana
rd,Haiti
rd,Isle of Man
rd,Jamaica
rd,Jordan
rd,Kiribati
rd,"Korea, Dem. People's Rep."
rd,Kosovo
rd,Lao PDR
rd,Lebanon
rd,Lesotho
rd,Liberia
rd,Libya
rd,Malawi
rd,Maldives
rd,Marshall Islands
rd,"Micronesia, Fed. Sts."
rd,Monaco
rd,Morocco
rd,Mozambique
rd,Nauru
rd,Nepal
rd,New Caledonia
rd,Nicaragua
rd,Niger
rd,Northern Mariana Islands
rd,Palau
rd,Papua New Guinea
rd,Puerto Rico (US)
rd,Samoa
rd,San Marino
rd,Sao Tome and Principe
rd,Senegal
rd,Seychelles
rd,Sierra Leone
rd,Sint Maarten (Dutch part)
rd,Solomon Islands
rd,Somalia
rd,South Sudan
rd,St. Kitts and Nevis
rd,St. Lucia
rd,St. Martin (French part)
rd,St. Vincent and the Grenadines
rd,Sudan
rd,Suriname
rd,Tanzania
rd,Timor-Leste
rd,Togo
rd,Tonga
rd,Turks and Caicos Islands
rd,Tuvalu
rd,Uganda
rd,Vanuatu
rd,"Venezuela, RB"
rd,Virgin Islands (U.S.)
rd,West Bank and Gaza
rd,"Yemen, Rep."
rd,Zambia
rd,Zimbabwe
