country,gdp_per_capita,year
Monaco,170663.375247872,2017
Liechtenstein,170547.092298954,2017
Bermuda,112339.425587467,2017
Luxembourg,110193.213797228,2017
Isle of Man,83481.3038489014,2017
Switzerland,82254.3770471336,2017
Cayman Islands,80053.9444506891,2017
"Macao SAR, China",77704.9215312666,2017
Norway,76131.8384032764,2017
Ireland,72198.1076995377,2017
Monaco,188298.315668437,2018
Liechtenstein,174988.775083446,2018
Luxembourg,116926.759593905,2018
Bermuda,113204.82210838,2018
Isle of Man,89393.8244248812,2018
Switzerland,85217.3691512274,2018
Cayman Islands,83865.5531568184,2018
"Macao SAR, China",83761.8171798142,2018
Norway,82792.8427113304,2018
Ireland,80738.9628834696,2018
Monaco,193746.785647412,2019
Liechtenstein,166907.839305016,2019
Bermuda,115798.040775578,2019
Luxembourg,112696.649059674,2019
Cayman Islands,88254.2903677044,2019
Isle of Man,87127.5517977404,2019
Switzerland,84121.9310304414,2019
"Macao SAR, China",81967.699172769,2019
Ireland,81810.1926481407,2019
Norway,76430.5889473338,2019
Monaco,176891.886538492,2020
Liechtenstein,164671.093553454,2020
Luxembourg,116860.02817236,2020
Bermuda,106976.546239632,2020
Ireland,86622.5067251295,2020
Switzerland,85897.7843338323,2020
Cayman Islands,82338.7982853661,2020
Isle of Man,79513.5330346598,2020
Norway,68340.0181033702,2020
United States,64401.5074354212,2020
Monaco,223823.363960226,2021
Liechtenstein,201944.830335076,2021
Luxembourg,134965.815442152,2021
Bermuda,112765.08167306,2021
Ireland,103961.976350649,2021
Isle of Man,94299.969348965,2021
Switzerland,93664.7736696111,2021
Norway,93072.8925119571,2021
Cayman Islands,86438.445257404,2021
Singapore,80056.1288247844,2021
Monaco,226052.001905201,2022
Liechtenstein,186821.881757157,2022
Luxembourg,123719.658915996,2022
Bermuda,121613.939983629,2022
Norway,109269.520580298,2022
Ireland,105234.511567597,2022
Switzerland,94394.5106803525,2022
Cayman Islands,92202.1478031576,2022
Singapore,90299.0694637269,2022
Qatar,88701.463352273,2022
