country,gov_effectiveness,year
Singapore,100.0,2017
Switzerland,99.523811340332,2017
Finland,99.0476226806641,2017
Norway,98.5714263916016,2017
Andorra,98.0952377319336,2017
Monaco,98.0952377319336,2017
Hong Kong,97.1428604125977,2017
Canada,96.6666641235352,2017
Netherlands,96.1904754638672,2017
Denmark,95.7142868041992,2017
Singapore,100.0,2018
Finland,99.523811340332,2018
Switzerland,99.0476226806641,2018
Andorra,98.5714263916016,2018
Monaco,98.5714263916016,2018
Hong Kong,97.6190490722656,2018
Norway,97.1428604125977,2018
Denmark,96.6666641235352,2018
Netherlands,96.1904754638672,2018
Luxembourg,95.7142868041992,2018
Singapore,100.0,2019
Finland,99.523811340332,2019
Switzerland,99.0476226806641,2019
Denmark,98.5714263916016,2019
Andorra,98.0952377319336,2019
Monaco,98.0952377319336,2019
Norway,97.1428604125977,2019
Netherlands,96.6666641235352,2019
Hong Kong,96.1904754638672,2019
Canada,95.7142868041992,2019
Singapore,100.0,2020
Monaco,99.523811340332,2020
Switzerland,99.0476226806641,2020
Finland,98.5714263916016,2020
Norway,98.0952377319336,2020
Denmark,97.6190490722656,2020
Netherlands,97.1428604125977,2020
Luxembourg,96.6666641235352,2020
Liechtenstein,96.1904754638672,2020
Andorra,95.7142868041992,2020
Singapore,100.0,2021
Monaco,99.523811340332,2021
Switzerland,99.0476226806641,2021
Denmark,98.5714263916016,2021
Finland,98.0952377319336,2021
Norway,97.6190490722656,2021
Andorra,97.1428604125977,2021
San Marino,97.1428604125977,2021
Netherlands,96.1904754638672,2021
Luxembourg,95.7142868041992,2021
Singapore,100.0,2022
Switzerland,99.5283050537109,2022
Monaco,99.0566024780273,2022
Denmark,98.5849075317383,2022
Norway,98.1132049560547,2022
Luxembourg,97.6415100097656,2022
San Marino,97.1698150634766,2022
Finland,96.698112487793,2022
Japan,96.2264175415039,2022
Hong Kong,95.7547149658203,2022
