country,year,gdp_per_capita
Monaco,2017,170663.375247872
Liechtenstein,2017,170547.092298954
Bermuda,2017,112339.425587467
Luxembourg,2017,110193.213797228
Isle of Man,2017,83481.3038489014
Switzerland,2017,82254.3770471336
Cayman Islands,2017,80053.9444506891
"Macao SAR, China",2017,77704.9215312666
Norway,2017,76131.8384032764
Ireland,2017,72198.1076995377
Monaco,2018,188298.315668437
Liechtenstein,2018,174988.775083446
Luxembourg,2018,116926.759593905
Bermuda,2018,113204.82210838
Isle of Man,2018,89393.8244248812
Switzerland,2018,85217.3691512274
Cayman Islands,2018,83865.5531568184
"Macao SAR, China",2018,83761.8171798142
Norway,2018,82792.8427113304
Ireland,2018,80738.9628834696
Monaco,2019,193746.785647412
Liechtenstein,2019,166907.839305016
Bermuda,2019,115798.040775578
Luxembourg,2019,112696.649059674
Cayman Islands,2019,88254.2903677044
Isle of Man,2019,87127.5517977404
Switzerland,2019,84121.9310304414
"Macao SAR, China",2019,81967.699172769
Ireland,2019,81810.1926481407
Norway,2019,76430.5889473338
Monaco,2020,176891.886538492
Liechtenstein,2020,164671.093553454
Luxembourg,2020,116860.02817236
Bermuda,2020,106976.546239632
Ireland,2020,86622.5067251295
Switzerland,2020,85897.7843338323
Cayman Islands,2020,82338.7982853661
Isle of Man,2020,79513.5330346598
Norway,2020,68340.0181033702
United States,2020,64401.5074354212
Monaco,2021,223823.363960226
Liechtenstein,2021,201944.830335076
Luxembourg,2021,134965.815442152
Bermuda,2021,112765.08167306
Ireland,2021,103961.976350649
Isle of Man,2021,94299.969348965
Switzerland,2021,93664.7736696111
Norway,2021,93072.8925119571
Cayman Islands,2021,86438.445257404
Singapore,2021,80056.1288247844
Monaco,2022,226052.001905201
Liechtenstein,2022,186821.881757157
Luxembourg,2022,123719.658915996
Bermuda,2022,121613.939983629
Norway,2022,109269.520580298
Ireland,2022,105234.511567597
Switzerland,2022,94394.5106803525
Cayman Islands,2022,92202.1478031576
Singapore,2022,90299.0694637269
Qatar,2022,88701.463352273
Monaco,2023,256580.515122745
Liechtenstein,2023,207973.617746758
Bermuda,2023,132604.439086216
Luxembourg,2023,131407.681364513
Ireland,2023,103887.800388081
Switzerland,2023,100631.802755125
Cayman Islands,2023,97749.5078960846
Isle of Man,2023,88328.548125887
Norway,2023,87497.3289297342
Singapore,2023,85412.230345235
Monaco,2024,256580.515122745
Liechtenstein,2024,207973.617746758
Bermuda,2024,138934.958846463
Luxembourg,2024,137516.587324367
Ireland,2024,107316.337306921
Switzerland,2024,103669.872008144
Cayman Islands,2024,97749.5078960846
Singapore,2024,90674.066632628
Isle of Man,2024,88328.548125887
Norway,2024,86809.7246897431
